Date,Open,High,Low,Close,Adj Close,Volume
2018-05-21,null,null,null,null,null,null
2018-05-22,785.869995,790.400024,774.080017,784.000000,767.412903,831
2018-05-23,800.969971,806.960022,795.479980,795.479980,778.650024,773
2018-05-24,804.479980,804.479980,777.000000,784.659973,768.058960,706
2018-05-25,817.200012,825.440002,817.200012,821.000000,803.630127,2223
2018-05-28,815.830017,820.500000,814.000000,818.000000,800.693604,811
2018-05-29,814.989990,816.989990,800.000000,809.000000,791.884033,246
2018-05-30,796.150024,796.150024,778.000000,783.739990,767.158508,1373
2018-05-31,791.130005,805.159973,790.700012,804.159973,787.146423,344
2018-06-01,801.669983,813.130005,801.669983,813.130005,795.926636,812
2018-06-04,808.320007,822.000000,806.599976,813.799988,796.582458,1124
2018-06-05,818.969971,818.969971,813.929993,814.840027,797.600464,346
2018-06-06,810.000000,812.109985,806.489990,806.500000,789.436951,226
2018-06-07,809.309998,809.309998,786.000000,799.510010,782.594849,392
2018-06-08,789.989990,791.500000,784.919983,787.510010,770.848694,517
2018-06-11,786.000000,789.000000,780.640015,789.000000,772.307190,750
2018-06-12,779.000000,781.000000,770.000000,779.909973,763.409424,510
2018-06-13,772.010010,778.489990,766.250000,773.000000,756.645691,975
2018-06-14,765.000000,773.000000,754.450012,772.619995,756.273682,3135
2018-06-15,758.219971,758.219971,741.400024,748.840027,732.996826,1312
2018-06-18,731.179993,733.789978,723.750000,732.669983,717.168884,1190
2018-06-19,727.440002,727.440002,716.539978,723.669983,708.359314,1086
2018-06-20,726.030029,731.130005,722.909973,722.909973,707.615417,1329
2018-06-21,730.520020,732.440002,717.099976,717.200012,702.026245,550
2018-06-22,717.080017,727.330017,717.080017,718.010010,702.819092,392
2018-06-25,721.700012,723.969971,688.000000,700.719971,685.894897,1114
2018-06-26,721.659973,729.260010,720.000000,722.979980,707.683960,225
2018-06-27,739.000000,744.979980,729.090027,744.979980,729.218506,279
2018-06-28,730.500000,730.500000,707.500000,714.010010,706.366394,685
2018-06-29,718.989990,730.919983,718.989990,720.000000,712.292236,342
2018-07-02,715.210022,715.210022,705.000000,709.590027,701.993713,389
2018-07-03,710.090027,718.229980,710.090027,712.000000,704.377869,348
2018-07-04,710.000000,710.000000,705.020020,705.020020,697.472595,284
2018-07-05,704.000000,718.570007,704.000000,718.570007,710.877563,391
2018-07-06,698.669983,701.869995,692.739990,700.000000,692.506348,1092
2018-07-09,700.000000,705.989990,700.000000,705.989990,698.432190,245
2018-07-10,710.000000,718.989990,710.000000,718.989990,711.293030,497
2018-07-11,704.989990,704.989990,700.000000,701.559998,694.049622,98
2018-07-12,699.359985,699.359985,686.799988,691.989990,684.582092,945
2018-07-13,713.169983,716.000000,692.289978,700.000000,692.506348,650
2018-07-16,705.000000,707.000000,701.109985,701.109985,693.604431,1267
2018-07-17,703.090027,712.679993,699.000000,707.080017,699.510559,526
2018-07-18,714.989990,725.090027,714.989990,716.869995,709.195740,558
2018-07-19,718.010010,721.799988,714.739990,719.989990,712.282349,139
2018-07-20,720.000000,728.859985,718.909973,725.609985,717.842163,461
2018-07-23,710.000000,710.000000,702.150024,708.989990,701.400085,445
2018-07-24,707.989990,714.000000,706.510010,712.500000,704.872498,245
2018-07-25,706.710022,716.020020,704.119995,709.010010,701.419922,171
2018-07-26,707.099976,715.489990,707.099976,715.489990,707.830505,442
2018-07-27,721.000000,730.489990,720.000000,729.500000,721.690552,479
2018-07-30,725.260010,730.440002,721.000000,723.030029,715.289795,562
2018-07-31,720.489990,727.700012,720.489990,725.500000,717.733337,455
2018-08-01,731.000000,736.239990,727.739990,731.000000,723.174500,211
2018-08-02,724.000000,727.849976,717.169983,724.000000,716.249390,405
2018-08-03,720.500000,725.859985,720.380005,722.289978,714.557678,305
2018-08-06,726.700012,733.320007,726.140015,733.320007,725.469666,397
2018-08-07,743.270020,743.270020,734.429993,735.099976,727.230530,573
2018-08-08,739.359985,744.429993,733.650024,738.489990,730.584290,288
2018-08-09,740.000000,741.559998,735.280029,736.119995,728.239685,157
2018-08-10,716.000000,719.190002,708.000000,713.059998,705.426514,533
2018-08-13,709.739990,713.400024,706.500000,711.000000,703.388550,427
2018-08-14,714.719971,725.619995,713.059998,725.619995,717.852051,141
2018-08-15,716.630005,717.070007,704.000000,706.000000,698.442078,424
2018-08-16,698.599976,699.989990,693.270020,699.989990,692.496460,667
2018-08-17,709.030029,709.030029,694.099976,699.820007,692.328247,635
2018-08-20,705.000000,707.989990,693.900024,700.859985,693.357117,494
2018-08-21,710.010010,720.239990,710.010010,720.200012,712.490112,431
2018-08-22,731.010010,733.700012,728.010010,731.799988,723.965881,444
2018-08-23,728.750000,733.080017,726.580017,726.580017,718.801819,609
2018-08-24,730.500000,732.880005,730.320007,730.840027,723.016235,125
2018-08-27,735.099976,739.280029,733.640015,733.640015,725.786255,267
2018-08-28,737.309998,749.989990,737.309998,749.989990,741.961182,504
2018-08-29,746.989990,750.000000,743.299988,747.409973,739.408752,85
2018-08-30,747.780029,751.989990,745.539978,747.140015,739.141724,166
2018-08-31,757.989990,760.000000,754.739990,760.000000,751.864014,579
2018-09-03,754.109985,754.599976,747.700012,747.710022,739.705627,220
2018-09-04,752.500000,753.510010,746.469971,746.469971,738.478821,202
2018-09-05,725.070007,730.580017,714.159973,718.869995,711.174316,359
2018-09-06,716.349976,719.150024,701.479980,701.479980,693.970459,254
2018-09-07,690.770020,699.780029,686.900024,699.780029,692.288696,625
2018-09-10,696.270020,701.739990,694.039978,695.340027,687.896240,389
2018-09-11,692.000000,697.989990,689.140015,696.299988,688.845947,434
2018-09-12,687.330017,689.000000,676.909973,687.049988,679.694946,1211
2018-09-13,676.390015,684.770020,675.489990,681.239990,673.947144,1232
